fare_id,price,currency_type,payment_method
monfri-week-kmzone1-Firgrove-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Firgrove,75.0,R,0
monsat-week-kmzone1-Firgrove-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Firgrove,180.0,R,0
month-kmzone1-Firgrove-Abbotsdale,180.0,R,0
single-kmzone3-Abbotsdale-Fisantkraal,14.0,R,0
single-kmzone3-Fisantkraal-Abbotsdale,14.0,R,0
return-kmzone3-Abbotsdale-Fisantkraal,28.0,R,0
return-kmzone3-Fisantkraal-Abbotsdale,28.0,R,0
monfri-week-kmzone3-Abbotsdale-Fisantkraal,80.0,R,0
monfri-week-kmzone3-Fisantkraal-Abbotsdale,80.0,R,0
monsat-week-kmzone3-Abbotsdale-Fisantkraal,100.0,R,0
monsat-week-kmzone3-Fisantkraal-Abbotsdale,100.0,R,0
month-kmzone3-Abbotsdale-Fisantkraal,250.0,R,0
month-kmzone3-Fisantkraal-Abbotsdale,250.0,R,0
single-kmzone1-Abbotsdale-Glencairn,10.0,R,0
single-kmzone1-Glencairn-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Glencairn,20.0,R,0
return-kmzone1-Glencairn-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Glencairn,60.0,R,0
monfri-week-kmzone1-Glencairn-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Glencairn,75.0,R,0
monsat-week-kmzone1-Glencairn-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Glencairn,180.0,R,0
month-kmzone1-Glencairn-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Goodwood,10.0,R,0
single-kmzone1-Goodwood-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Goodwood,20.0,R,0
return-kmzone1-Goodwood-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Goodwood,60.0,R,0
monfri-week-kmzone1-Goodwood-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Goodwood,75.0,R,0
monsat-week-kmzone1-Goodwood-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Goodwood,180.0,R,0
month-kmzone1-Goodwood-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Gouda,10.0,R,0
single-kmzone1-Gouda-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Gouda,20.0,R,0
return-kmzone1-Gouda-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Gouda,60.0,R,0
monfri-week-kmzone1-Gouda-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Gouda,75.0,R,0
monsat-week-kmzone1-Gouda-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Gouda,180.0,R,0
month-kmzone1-Gouda-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Harfield Road,10.0,R,0
single-kmzone1-Harfield Road-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Harfield Road,20.0,R,0
return-kmzone1-Harfield Road-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Harfield Road,60.0,R,0
monfri-week-kmzone1-Harfield Road-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Harfield Road,75.0,R,0
monsat-week-kmzone1-Harfield Road-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Harfield Road,180.0,R,0
month-kmzone1-Harfield Road-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Hazendal,10.0,R,0
single-kmzone1-Hazendal-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Hazendal,20.0,R,0
return-kmzone1-Hazendal-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Hazendal,60.0,R,0
monfri-week-kmzone1-Hazendal-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Hazendal,75.0,R,0
monsat-week-kmzone1-Hazendal-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Hazendal,180.0,R,0
month-kmzone1-Hazendal-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Heathfield,10.0,R,0
single-kmzone1-Heathfield-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Heathfield,20.0,R,0
return-kmzone1-Heathfield-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Heathfield,60.0,R,0
monfri-week-kmzone1-Heathfield-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Heathfield,75.0,R,0
monsat-week-kmzone1-Heathfield-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Heathfield,180.0,R,0
month-kmzone1-Heathfield-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Heideveld,10.0,R,0
single-kmzone1-Heideveld-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Heideveld,20.0,R,0
return-kmzone1-Heideveld-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Heideveld,60.0,R,0
monfri-week-kmzone1-Heideveld-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Heideveld,75.0,R,0
monsat-week-kmzone1-Heideveld-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Heideveld,180.0,R,0
month-kmzone1-Heideveld-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Hermon,10.0,R,0
single-kmzone1-Hermon-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Hermon,20.0,R,0
return-kmzone1-Hermon-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Hermon,60.0,R,0
monfri-week-kmzone1-Hermon-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Hermon,75.0,R,0
monsat-week-kmzone1-Hermon-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Hermon,180.0,R,0
month-kmzone1-Hermon-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Huguenot,10.0,R,0
single-kmzone1-Huguenot-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Huguenot,20.0,R,0
return-kmzone1-Huguenot-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Huguenot,60.0,R,0
monfri-week-kmzone1-Huguenot-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Huguenot,75.0,R,0
monsat-week-kmzone1-Huguenot-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Huguenot,180.0,R,0
month-kmzone1-Huguenot-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Kaapstad,10.0,R,0
single-kmzone1-Kaapstad-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Kaapstad,20.0,R,0
return-kmzone1-Kaapstad-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Kaapstad,60.0,R,0
monfri-week-kmzone1-Kaapstad-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Kaapstad,75.0,R,0
monsat-week-kmzone1-Kaapstad-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Kaapstad,180.0,R,0
month-kmzone1-Kaapstad-Abbotsdale,180.0,R,0
single-kmzone2-Abbotsdale-Kalbaskraal,12.0,R,0
single-kmzone2-Kalbaskraal-Abbotsdale,12.0,R,0
return-kmzone2-Abbotsdale-Kalbaskraal,24.0,R,0
return-kmzone2-Kalbaskraal-Abbotsdale,24.0,R,0
monfri-week-kmzone2-Abbotsdale-Kalbaskraal,70.0,R,0
monfri-week-kmzone2-Kalbaskraal-Abbotsdale,70.0,R,0
monsat-week-kmzone2-Abbotsdale-Kalbaskraal,80.0,R,0
monsat-week-kmzone2-Kalbaskraal-Abbotsdale,80.0,R,0
month-kmzone2-Abbotsdale-Kalbaskraal,220.0,R,0
month-kmzone2-Kalbaskraal-Abbotsdale,220.0,R,0
single-kmzone1-Abbotsdale-Kalkbaai,10.0,R,0
single-kmzone1-Kalkbaai-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Kalkbaai,20.0,R,0
