fare_id,origin_id,destination_id
monfri-week-kmzone1-Hazendal-Abbotsdale,Hazendal,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Hazendal,Abbotsdale,Hazendal
monsat-week-kmzone1-Hazendal-Abbotsdale,Hazendal,Abbotsdale
month-kmzone1-Abbotsdale-Hazendal,Abbotsdale,Hazendal
month-kmzone1-Hazendal-Abbotsdale,Hazendal,Abbotsdale
single-kmzone1-Abbotsdale-Heathfield,Abbotsdale,Heathfield
single-kmzone1-Heathfield-Abbotsdale,Heathfield,Abbotsdale
return-kmzone1-Abbotsdale-Heathfield,Abbotsdale,Heathfield
return-kmzone1-Heathfield-Abbotsdale,Heathfield,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Heathfield,Abbotsdale,Heathfield
monfri-week-kmzone1-Heathfield-Abbotsdale,Heathfield,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Heathfield,Abbotsdale,Heathfield
monsat-week-kmzone1-Heathfield-Abbotsdale,Heathfield,Abbotsdale
month-kmzone1-Abbotsdale-Heathfield,Abbotsdale,Heathfield
month-kmzone1-Heathfield-Abbotsdale,Heathfield,Abbotsdale
single-kmzone1-Abbotsdale-Heideveld,Abbotsdale,Heideveld
single-kmzone1-Heideveld-Abbotsdale,Heideveld,Abbotsdale
return-kmzone1-Abbotsdale-Heideveld,Abbotsdale,Heideveld
return-kmzone1-Heideveld-Abbotsdale,Heideveld,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Heideveld,Abbotsdale,Heideveld
monfri-week-kmzone1-Heideveld-Abbotsdale,Heideveld,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Heideveld,Abbotsdale,Heideveld
monsat-week-kmzone1-Heideveld-Abbotsdale,Heideveld,Abbotsdale
month-kmzone1-Abbotsdale-Heideveld,Abbotsdale,Heideveld
month-kmzone1-Heideveld-Abbotsdale,Heideveld,Abbotsdale
single-kmzone1-Abbotsdale-Hermon,Abbotsdale,Hermon
single-kmzone1-Hermon-Abbotsdale,Hermon,Abbotsdale
return-kmzone1-Abbotsdale-Hermon,Abbotsdale,Hermon
return-kmzone1-Hermon-Abbotsdale,Hermon,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Hermon,Abbotsdale,Hermon
monfri-week-kmzone1-Hermon-Abbotsdale,Hermon,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Hermon,Abbotsdale,Hermon
monsat-week-kmzone1-Hermon-Abbotsdale,Hermon,Abbotsdale
month-kmzone1-Abbotsdale-Hermon,Abbotsdale,Hermon
month-kmzone1-Hermon-Abbotsdale,Hermon,Abbotsdale
single-kmzone1-Abbotsdale-Huguenot,Abbotsdale,Huguenot
single-kmzone1-Huguenot-Abbotsdale,Huguenot,Abbotsdale
return-kmzone1-Abbotsdale-Huguenot,Abbotsdale,Huguenot
return-kmzone1-Huguenot-Abbotsdale,Huguenot,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Huguenot,Abbotsdale,Huguenot
monfri-week-kmzone1-Huguenot-Abbotsdale,Huguenot,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Huguenot,Abbotsdale,Huguenot
monsat-week-kmzone1-Huguenot-Abbotsdale,Huguenot,Abbotsdale
month-kmzone1-Abbotsdale-Huguenot,Abbotsdale,Huguenot
month-kmzone1-Huguenot-Abbotsdale,Huguenot,Abbotsdale
single-kmzone1-Abbotsdale-Kaapstad,Abbotsdale,Kaapstad
single-kmzone1-Kaapstad-Abbotsdale,Kaapstad,Abbotsdale
return-kmzone1-Abbotsdale-Kaapstad,Abbotsdale,Kaapstad
return-kmzone1-Kaapstad-Abbotsdale,Kaapstad,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Kaapstad,Abbotsdale,Kaapstad
monfri-week-kmzone1-Kaapstad-Abbotsdale,Kaapstad,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Kaapstad,Abbotsdale,Kaapstad
monsat-week-kmzone1-Kaapstad-Abbotsdale,Kaapstad,Abbotsdale
month-kmzone1-Abbotsdale-Kaapstad,Abbotsdale,Kaapstad
month-kmzone1-Kaapstad-Abbotsdale,Kaapstad,Abbotsdale
single-kmzone2-Abbotsdale-Kalbaskraal,Abbotsdale,Kalbaskraal
single-kmzone2-Kalbaskraal-Abbotsdale,Kalbaskraal,Abbotsdale
return-kmzone2-Abbotsdale-Kalbaskraal,Abbotsdale,Kalbaskraal
return-kmzone2-Kalbaskraal-Abbotsdale,Kalbaskraal,Abbotsdale
monfri-week-kmzone2-Abbotsdale-Kalbaskraal,Abbotsdale,Kalbaskraal
monfri-week-kmzone2-Kalbaskraal-Abbotsdale,Kalbaskraal,Abbotsdale
monsat-week-kmzone2-Abbotsdale-Kalbaskraal,Abbotsdale,Kalbaskraal
monsat-week-kmzone2-Kalbaskraal-Abbotsdale,Kalbaskraal,Abbotsdale
month-kmzone2-Abbotsdale-Kalbaskraal,Abbotsdale,Kalbaskraal
month-kmzone2-Kalbaskraal-Abbotsdale,Kalbaskraal,Abbotsdale
single-kmzone1-Abbotsdale-Kalkbaai,Abbotsdale,Kalkbaai
single-kmzone1-Kalkbaai-Abbotsdale,Kalkbaai,Abbotsdale
return-kmzone1-Abbotsdale-Kalkbaai,Abbotsdale,Kalkbaai
return-kmzone1-Kalkbaai-Abbotsdale,Kalkbaai,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Kalkbaai,Abbotsdale,Kalkbaai
monfri-week-kmzone1-Kalkbaai-Abbotsdale,Kalkbaai,Abbotsdale
