shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
nth_34_stellies_line_shape,-33.923496204,18.496293102,11
nth_34_stellies_line_shape,-33.922935006,18.501332324,12
nth_34_stellies_line_shape,-33.92170385,18.509860986,13
nth_34_stellies_line_shape,-33.92012652,18.523277585,14
nth_34_stellies_line_shape,-33.919213333,18.530289694,15
nth_34_stellies_line_shape,-33.918825353,18.533228427,16
nth_34_stellies_line_shape,-33.917790074,18.538074807,17
nth_34_stellies_line_shape,-33.913831986,18.549561641,18
nth_34_stellies_line_shape,-33.911431076,18.557763369,19
nth_34_stellies_line_shape,-33.911067997,18.558832015,20
nth_34_stellies_line_shape,-33.910399552,18.564484965,21
nth_34_stellies_line_shape,-33.910478779,18.568610778,22
nth_34_stellies_line_shape,-33.910640423,18.569990837,23
nth_34_stellies_line_shape,-33.910521095,18.579097907,24
nth_34_stellies_line_shape,-33.909585567,18.586323308,25
nth_34_stellies_line_shape,-33.907547844,18.601345952,26
nth_34_stellies_line_shape,-33.905050764,18.619509543,27
nth_34_stellies_line_shape,-33.906532983,18.626551846,28
nth_34_stellies_line_shape,-33.907109202,18.629228748,29
nth_34_stellies_line_shape,-33.907535706,18.633968188,30
nth_34_stellies_line_shape,-33.911717128,18.650126894,31
nth_34_stellies_line_shape,-33.915577999,18.661772005,32
nth_34_stellies_line_shape,-33.917937608,18.665358941,33
nth_34_stellies_line_shape,-33.928628919,18.673793481,34
nth_34_stellies_line_shape,-33.940569404,18.683162207,35
nth_34_stellies_line_shape,-33.964485373,18.701305793,36
nth_34_stellies_line_shape,-33.978537505,18.712639338,37
nth_34_stellies_line_shape,-33.989362812,18.720344507,38
nth_34_stellies_line_shape,-33.999439847,18.729394511,39
nth_34_stellies_line_shape,-34.00115311,18.7318148,40
nth_34_stellies_line_shape,-34.002522952,18.734225154,41
nth_34_stellies_line_shape,-34.004622092,18.737457069,42
nth_34_stellies_line_shape,-34.006040125,18.742832218,43
nth_34_stellies_line_shape,-34.006057311,18.748305786,44
nth_34_stellies_line_shape,-34.005646873,18.751305698,45
nth_34_stellies_line_shape,-34.005652249,18.751044666,46
nth_34_stellies_line_shape,-34.002424434,18.756040455,47
nth_34_stellies_line_shape,-33.994734442,18.763172525,48
nth_34_stellies_line_shape,-33.985369103,18.767843598,49
nth_34_stellies_line_shape,-33.978667501,18.774322061,50
nth_34_stellies_line_shape,-33.967075713,18.789795524,51
nth_34_stellies_line_shape,-33.949893611,18.825121082,52
nth_34_stellies_line_shape,-33.941987816,18.845064647,53
nth_34_stellies_line_shape,-33.940333757,18.84847597,54
nth_34_stellies_line_shape,-33.93836306,18.850029735,55
nth_34_stellies_line_shape,-33.934002571,18.85239403,56
nth_34_stellies_line_shape,-33.931187889,18.853021164,57
nth_34_stellies_line_shape,-33.926408123,18.854163688,58
nth_34_stellies_line_shape,-33.923710106,18.854049732,59
nth_34_stellies_line_shape_back,-33.92248762,18.426789801,59
nth_34_stellies_line_shape_back,-33.924972332,18.431672042,58
nth_34_stellies_line_shape_back,-33.925549171,18.436068004,57
nth_34_stellies_line_shape_back,-33.925282366,18.442037514,56
nth_34_stellies_line_shape_back,-33.92543548,18.448589746,55
nth_34_stellies_line_shape_back,-33.926304415,18.456204353,54
nth_34_stellies_line_shape_back,-33.926946256,18.462321036,53
nth_34_stellies_line_shape_back,-33.927472742,18.467268734,52
nth_34_stellies_line_shape_back,-33.926817015,18.47171327,51
nth_34_stellies_line_shape_back,-33.924885821,18.485957698,50
nth_34_stellies_line_shape_back,-33.923496204,18.496293102,49
nth_34_stellies_line_shape_back,-33.922935006,18.501332324,48
nth_34_stellies_line_shape_back,-33.92170385,18.509860986,47
nth_34_stellies_line_shape_back,-33.92012652,18.523277585,46
nth_34_stellies_line_shape_back,-33.919213333,18.530289694,45
nth_34_stellies_line_shape_back,-33.918825353,18.533228427,44
nth_34_stellies_line_shape_back,-33.917790074,18.538074807,43
nth_34_stellies_line_shape_back,-33.913831986,18.549561641,42
nth_34_stellies_line_shape_back,-33.911431076,18.557763369,41
nth_34_stellies_line_shape_back,-33.911067997,18.558832015,40
nth_34_stellies_line_shape_back,-33.910399552,18.564484965,39
nth_34_stellies_line_shape_back,-33.910478779,18.568610778,38
nth_34_stellies_line_shape_back,-33.910640423,18.569990837,37
nth_34_stellies_line_shape_back,-33.910521095,18.579097907,36
nth_34_stellies_line_shape_back,-33.909585567,18.586323308,35
nth_34_stellies_line_shape_back,-33.907547844,18.601345952,34
nth_34_stellies_line_shape_back,-33.905050764,18.619509543,33
nth_34_stellies_line_shape_back,-33.906532983,18.626551846,32
nth_34_stellies_line_shape_back,-33.907109202,18.629228748,31
